11	58	58
11	58	203
11	203	203
11	203	58
11	157	58
11	157	203
11	58	157
11	203	157
11	157	157
12	58	58
12	58	203
12	203	203
12	203	58
12	157	58
12	157	203
12	58	157
12	203	157
12	157	157
10	58	57
10	203	57
10	51	57
10	201	57
10	55	57
10	54	57
10	53	57
10	59	57
10	58	202
10	203	202
10	51	202
10	201	202
10	55	202
10	54	202
10	53	202
10	59	202
10	58	157
10	203	157
10	51	157
10	201	157
10	55	157
10	54	157
10	53	157
10	59	157
9	58	57
9	203	57
9	51	57
9	201	57
9	55	57
9	54	57
9	53	57
9	59	57
9	58	202
9	203	202
9	51	202
9	201	202
9	55	202
9	54	202
9	53	202
9	59	202
9	58	157
9	203	157
9	51	157
9	201	157
9	55	157
9	54	157
9	53	157
9	59	157
5	51	51
5	157	51
5	51	157
5	157	157
5	51	201
5	201	51
5	201	201
5	201	157
5	157	201
5	55	55
5	157	55
5	55	157
5	157	157
5	55	201
5	201	55
5	201	201
5	201	157
5	157	201
5	54	54
5	157	54
5	54	157
5	157	157
5	54	201
5	201	54
5	201	201
5	201	157
5	157	201
5	53	53
5	157	53
5	53	157
5	157	157
5	53	201
5	201	53
5	201	201
5	201	157
5	157	201
6	51	51
6	157	51
6	51	157
6	157	157
6	51	201
6	201	51
6	201	201
6	201	157
6	157	201
6	55	55
6	157	55
6	55	157
6	157	157
6	55	201
6	201	55
6	201	201
6	201	157
6	157	201
6	54	54
6	157	54
6	54	157
6	157	157
6	54	201
6	201	54
6	201	201
6	201	157
6	157	201
6	53	53
6	157	53
6	53	157
6	157	157
6	53	201
6	201	53
6	201	201
6	201	157
6	157	201
7	51	51
7	55	51
7	54	51
7	53	51
7	59	51
7	157	51
7	201	51
7	51	55
7	55	55
7	54	55
7	53	55
7	59	55
7	157	55
7	201	55
7	51	54
7	55	54
7	54	54
7	53	54
7	59	54
7	157	54
7	201	54
7	51	53
7	55	53
7	54	53
7	53	53
7	59	53
7	157	53
7	201	53
7	51	59
7	55	59
7	54	59
7	53	59
7	59	59
7	157	59
7	201	59
7	51	157
7	55	157
7	54	157
7	53	157
7	59	157
7	157	157
7	201	157
7	51	201
7	55	201
7	54	201
7	53	201
7	59	201
7	157	201
7	201	201
8	51	51
8	55	51
8	54	51
8	53	51
8	59	51
8	157	51
8	201	51
8	51	55
8	55	55
8	54	55
8	53	55
8	59	55
8	157	55
8	201	55
8	51	54
8	55	54
8	54	54
8	53	54
8	59	54
8	157	54
8	201	54
8	51	53
8	55	53
8	54	53
8	53	53
8	59	53
8	157	53
8	201	53
8	51	59
8	55	59
8	54	59
8	53	59
8	59	59
8	157	59
8	201	59
8	51	157
8	55	157
8	54	157
8	53	157
8	59	157
8	157	157
8	201	157
8	51	201
8	55	201
8	54	201
8	53	201
8	59	201
8	157	201
8	201	201
13	157	157
13	157	201
13	157	52
13	201	157
13	201	201
13	201	52
13	52	157
13	52	201
13	52	52
14	157	157
14	157	201
14	157	52
14	201	157
14	201	201
14	201	52
14	52	157
14	52	201
14	157	52
15	53	157
15	53	201
15	53	53
15	53	51
15	157	157
15	157	201
15	157	53
15	157	51
15	201	157
15	201	201
15	201	53
15	201	51
15	51	157
15	51	201
15	51	53
15	51	51
16	53	157
16	53	201
16	53	53
16	53	51
16	157	157
16	157	201
16	157	53
16	157	51
16	201	157
16	201	201
16	201	53
16	201	51
16	51	157
16	51	201
16	51	53
