11	58	58
11	58	203
11	203	203
11	203	58
11	157	58
11	157	203
11	58	157
11	203	157
11	157	157
10	58	57
10	203	57
10	51	57
10	201	57
10	58	202
10	203	202
10	51	202
10	201	202
10	58	157
10	203	157
10	51	157
10	201	157
9	58	57
9	203	57
9	51	57
9	201	57
9	58	202
9	203	202
9	51	202
9	201	202
9	58	157
9	203	157
9	51	157
9	201	157
5	51	51
5	157	51
5	51	157
5	157	157
5	51	201
5	201	51
5	201	201
5	201	157
5	157	201
7	51	51
7	157	51
7	51	157
7	157	157
7	51	201
7	201	51
7	201	201
7	201	157
7	157	201

